Month,Country,Vessel Length,Species Group,Admin Port,Marker,Value
month/2019-07,K02000001,all,all,uk,,65751
month/2020-07,K02000001,all,all,uk,,68003
month/2019-07,K02000001,u10m,all,uk,,3841
month/2020-07,K02000001,u10m,all,uk,,2829
month/2019-07,K02000001,u10m,demersal,uk,,385
month/2020-07,K02000001,u10m,demersal,uk,,451
month/2019-07,K02000001,u10m,pelagic,uk,,332
month/2020-07,K02000001,u10m,pelagic,uk,,325
month/2019-07,K02000001,u10m,shellfish,uk,,3123
month/2020-07,K02000001,u10m,shellfish,uk,,2051
month/2019-07,K02000001,10-12m,all,uk,,1445
month/2020-07,K02000001,10-12m,all,uk,,1441
month/2019-07,K02000001,10-12m,demersal,uk,,110
month/2020-07,K02000001,10-12m,demersal,uk,,164
month/2019-07,K02000001,10-12m,pelagic,uk,,97
month/2020-07,K02000001,10-12m,pelagic,uk,,321
month/2019-07,K02000001,10-12m,shellfish,uk,,1237
month/2020-07,K02000001,10-12m,shellfish,uk,,956
month/2019-07,K02000001,o12m,all,uk,,60464
month/2020-07,K02000001,o12m,all,uk,,63732
month/2019-07,K02000001,o12m,demersal,uk,,11994
month/2020-07,K02000001,o12m,demersal,uk,,10847
month/2019-07,K02000001,o12m,pelagic,uk,,37955
month/2020-07,K02000001,o12m,pelagic,uk,,44106
month/2019-07,K02000001,o12m,shellfish,uk,,10514
month/2020-07,K02000001,o12m,shellfish,uk,,8778
month/2019-07,E92000001,all,all,uk,,17635
month/2020-07,E92000001,all,all,uk,,18316
month/2019-07,E92000001,u10m,all,uk,,1794
month/2020-07,E92000001,u10m,all,uk,,1713
month/2019-07,E92000001,u10m,demersal,uk,,330
month/2020-07,E92000001,u10m,demersal,uk,,406
month/2019-07,E92000001,u10m,pelagic,uk,,78
month/2020-07,E92000001,u10m,pelagic,uk,,100
month/2019-07,E92000001,u10m,shellfish,uk,,1384
month/2020-07,E92000001,u10m,shellfish,uk,,1206
month/2019-07,E92000001,10-12m,all,uk,,760
month/2020-07,E92000001,10-12m,all,uk,,1160
month/2019-07,E92000001,10-12m,demersal,uk,,101
month/2020-07,E92000001,10-12m,demersal,uk,,160
month/2019-07,E92000001,10-12m,pelagic,uk,,97
month/2020-07,E92000001,10-12m,pelagic,uk,,321
month/2019-07,E92000001,10-12m,shellfish,uk,,561
month/2020-07,E92000001,10-12m,shellfish,uk,,679
month/2019-07,E92000001,o12m,all,uk,,15080
month/2020-07,E92000001,o12m,all,uk,,15442
month/2019-07,E92000001,o12m,demersal,uk,,3845
month/2020-07,E92000001,o12m,demersal,uk,,3762
month/2019-07,E92000001,o12m,pelagic,uk,,5662
month/2020-07,E92000001,o12m,pelagic,uk,,7061
month/2019-07,E92000001,o12m,shellfish,uk,,5572
month/2020-07,E92000001,o12m,shellfish,uk,,4618
month/2019-07,N07000001,all,all,uk,,6651
month/2020-07,N07000001,all,all,uk,,9561
month/2019-07,N07000001,u10m,all,uk,,271
month/2020-07,N07000001,u10m,all,uk,,95
month/2019-07,N07000001,u10m,demersal,uk,,7
month/2020-07,N07000001,u10m,demersal,uk,,2
month/2019-07,N07000001,u10m,pelagic,uk,,0
month/2020-07,N07000001,u10m,pelagic,uk,,8
month/2019-07,N07000001,u10m,shellfish,uk,,264
month/2020-07,N07000001,u10m,shellfish,uk,,83
month/2019-07,N07000001,10-12m,all,uk,,176
month/2020-07,N07000001,10-12m,all,uk,,45
month/2019-07,N07000001,10-12m,demersal,uk,,1
month/2020-07,N07000001,10-12m,demersal,uk,,0
